id,retailer,long_wgs,lat_wgs,size_band,size_code
1010005456,Tesco,-4.133958688,50.38337319,"< 3,013 ft2 (280m2)",Small convenience
1010019631,Morrisons,-3.919099181,50.3902557,"< 3,013 ft2 (280m2)",Small convenience
1010008140,The Co-operative Group,-4.039416415,50.31465252,"< 3,013 ft2 (280m2)",Small convenience
1010007307,Lidl,-4.151661782,50.41165794,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010019215,Morrisons,-2.178943988,53.547625,"< 3,013 ft2 (280m2)",Small convenience
1010017761,Spar,-2.182443784,53.55965354,"< 3,013 ft2 (280m2)",Small convenience
1010020310,The Radstock Co-operative Society,-2.446202545,51.29160117,"< 3,013 ft2 (280m2)",Small convenience
1010011812,The Radstock Co-operative Society,-2.473217675,51.27925467,"< 3,013 ft2 (280m2)",Small convenience
1010011811,The Radstock Co-operative Society,-2.533411353,51.29966649,"< 3,013 ft2 (280m2)",Small convenience
1010010157,The Co-operative Group,-0.703220886,52.15287404,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010005240,Tesco,-0.729627691,52.07846338,"< 3,013 ft2 (280m2)",Small convenience
1010005243,Tesco,-0.754276912,51.99106816,"< 3,013 ft2 (280m2)",Small convenience
1010005251,Tesco,-0.803639578,52.00752692,"< 3,013 ft2 (280m2)",Small convenience
1010015481,Sainsburys,-0.678837907,52.04702361,"< 3,013 ft2 (280m2)",Small convenience
1010003080,Sainsburys,-0.761521047,52.03641136,"30,138 ft2 > (2,800 m2)",Very large
1010015463,Lidl,-0.677484455,52.04599488,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010017257,Spar,-3.325479968,51.17837999,"< 3,013 ft2 (280m2)",Small convenience
1010019441,Morrisons,-3.319528989,53.114431,"< 3,013 ft2 (280m2)",Small convenience
1010017756,Spar,-3.073703482,53.22492685,"< 3,013 ft2 (280m2)",Small convenience
1010015955,Iceland,-3.134960417,53.16832563,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010004716,Tesco,-3.132779418,53.24875458,"< 3,013 ft2 (280m2)",Small convenience
1010006995,Lidl,-3.028862207,53.20906064,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010011356,Iceland,-3.134560751,53.24901208,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010007263,Lidl,-2.706569486,51.81009127,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010016641,Spar,-2.813916594,51.77201051,"< 3,013 ft2 (280m2)",Small convenience
1010020288,Midcounties Co-operative,-2.578126571,51.74637629,"< 3,013 ft2 (280m2)",Small convenience
1010009986,The Co-operative Group,-2.660879912,56.73567159,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010005964,Tesco,-2.660337414,56.73420175,"< 3,013 ft2 (280m2)",Small convenience
1010000706,Asda,-2.827878185,54.05630729,"30,138 ft2 > (2,800 m2)",Very large
1010000241,Aldi,-2.8758479,54.06965931,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010002357,Morrisons,-2.874037144,54.06920458,"30,138 ft2 > (2,800 m2)",Very large
1010004249,Tesco,-2.773354983,54.12614857,"15,069 < 30,138 ft2 (1,400 < 2,800 m2)",Large
1010001142,Booths,-2.767736396,54.12984551,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010007239,Lidl,-1.687409934,55.16789964,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010019314,Aldi,-3.815813222,51.66298515,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010013523,Marks and Spencer,-0.941741552,53.07782156,"< 3,013 ft2 (280m2)",Small convenience
1010009684,The Co-operative Group,-0.957105515,53.08030767,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010002435,Morrisons,-0.80841324,53.07836334,"30,138 ft2 > (2,800 m2)",Very large
1010003104,Sainsburys,-0.784084309,53.05392791,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010006281,Tesco,-1.317877819,51.38283636,"30,138 ft2 > (2,800 m2)",Very large
1010003174,Sainsburys,-1.319497117,51.39864432,"30,138 ft2 > (2,800 m2)",Very large
1010019181,The Co-operative Group,-1.276837332,51.45234997,"< 3,013 ft2 (280m2)",Small convenience
1010010729,Sainsburys,-1.252973296,51.40360732,"< 3,013 ft2 (280m2)",Small convenience
1010006463,Tesco,-1.32407862,51.40281602,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010014467,The Co-operative Group,0.327943804,52.27719048,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010006595,Waitrose,0.408208943,52.246817,"15,069 < 30,138 ft2 (1,400 < 2,800 m2)",Large
1010008889,The Co-operative Group,0.511583356,52.34321489,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010000755,Asda,-2.989507467,51.58140621,"30,138 ft2 > (2,800 m2)",Very large
1010016415,Spar,-3.020096539,51.5800141,"< 3,013 ft2 (280m2)",Small convenience
1010005365,Tesco,-3.002769083,51.58704306,"< 3,013 ft2 (280m2)",Small convenience
1010019052,Lidl,-3.013077844,51.57135775,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010005803,Tesco,-5.069518942,50.41840405,"< 3,013 ft2 (280m2)",Small convenience
1010007446,Lidl,-5.063095123,50.40230693,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010017202,Spar,-4.933432504,50.39183057,"< 3,013 ft2 (280m2)",Small convenience
1010020235,Spar,-6.00983,54.06068,"< 3,013 ft2 (280m2)",Small convenience
1010000894,Asda,-6.002296925,54.06494945,"15,069 < 30,138 ft2 (1,400 < 2,800 m2)",Large
1010020197,Spar,-6.335154642,54.18745275,"< 3,013 ft2 (280m2)",Small convenience
1010020142,Spar,-6.368796427,54.188686,"< 3,013 ft2 (280m2)",Small convenience
1010020144,Spar,-6.34679,54.15397,"< 3,013 ft2 (280m2)",Small convenience
1010006957,Lidl,-6.335082357,54.17311734,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010003903,Sainsburys,-3.607797022,50.52866644,"< 3,013 ft2 (280m2)",Small convenience
1010004413,Tesco,-3.60201911,50.54089453,"30,138 ft2 > (2,800 m2)",Very large
1010008045,The Co-operative Group,-3.587895033,50.52759107,"< 3,013 ft2 (280m2)",Small convenience
1010017277,Spar,-3.601674502,50.60409517,"< 3,013 ft2 (280m2)",Small convenience
1010011457,Iceland,-3.610804506,50.53035029,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010015533,Aldi,-3.598606696,50.52732062,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010019898,Spar,-1.56341,54.58492,"< 3,013 ft2 (280m2)",Small convenience
1010014177,Aldi,-4.346113032,55.78417208,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010009853,The Co-operative Group,-3.542432886,52.44480075,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010017018,Spar,-3.539455632,52.44979232,"< 3,013 ft2 (280m2)",Small convenience
1010017048,Spar,-3.315492524,52.51605571,"< 3,013 ft2 (280m2)",Small convenience
1010019142,Aldi,-3.298644937,52.51797218,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010008408,The Co-operative Group,-5.948410676,54.68886168,"< 3,013 ft2 (280m2)",Small convenience
1010018267,Spar,-6.04127605,54.73687647,"< 3,013 ft2 (280m2)",Small convenience
1010018134,Spar,-5.97206954,54.67662294,"< 3,013 ft2 (280m2)",Small convenience
1010010650,Tesco,-5.962683671,54.67691164,"30,138 ft2 > (2,800 m2)",Very large
1010001047,Asda,-1.444328483,55.0079753,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010005369,Tesco,1.427224997,52.88137383,"< 3,013 ft2 (280m2)",Small convenience
1010004303,Tesco,1.515617846,52.77084967,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010020137,Spar,1.135796968,52.82749567,"< 3,013 ft2 (280m2)",Small convenience
1010009808,The Co-operative Group,-1.592904699,54.28876685,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010016565,Spar,-0.794325933,52.25443667,"< 3,013 ft2 (280m2)",Small convenience
1010006034,Tesco,-0.871081513,52.24455718,"< 3,013 ft2 (280m2)",Small convenience
1010007926,The Co-operative Group,-0.853193917,52.25937499,"< 3,013 ft2 (280m2)",Small convenience
1010007257,Lidl,-0.8361685,52.25549974,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010000344,Aldi,-0.996272769,52.13802278,"3,013 < 15,069 ft2 (280 < 1,400 m2)",Mid-size
1010006711,Waitrose,-0.989089592,52.1302454,"15,069 < 30,138 ft2 (1,400 < 2,800 m2)",Large
1010007927,The Co-operative Group,-0.899910004,52.24665163,"< 3,013 ft2 (280m2)",Small convenience
1010018961,Tesco,-0.89455496,52.23816252,"< 3,013 ft2 (280m2)",Small convenience
