lsoa11cd,FHRSID
E01000928,83
E01000929,60
E01000930,57
E01000931,61
E01000932,65
E01000933,62
E01000934,63
E01000935,72
E01000936,172
E01000937,151
E01000938,145
E01000939,135
E01000940,149
E01000941,125
E01000942,139
E01000943,147
E01000944,88
E01000945,116
E01000946,73
E01000947,114
E01000948,95
E01000949,87
E01000950,96
E01000951,84
E01000952,119
E01000953,104
E01000954,119
E01000955,122
E01000956,131
E01000957,118
E01000958,101
E01000959,111
E01000960,52
E01000961,57
E01000962,63
E01000963,63
E01000964,74
E01000965,74
E01000966,73
E01000967,60
E01000968,76
E01000969,39
E01000970,45
E01000971,39
E01000972,65
E01000973,65
E01000974,56
E01000975,42
E01000976,40
E01000977,27
E01000978,29
E01000979,34
E01000980,38
E01000981,28
E01000982,38
E01000983,28
E01000984,35
E01000985,19
E01000986,21
E01000987,21
E01000989,6
E01000990,18
E01000991,5
E01000992,19
E01000993,25
E01000994,64
E01000995,44
E01000996,63
E01000997,77
E01000998,78
E01000999,50
E01001000,76
E01001001,53
E01001002,60
E01001003,68
E01001004,76
E01001005,77
E01001006,26
E01001007,25
E01001008,64
E01001009,75
E01001010,76
E01001011,84
E01001012,95
E01001013,105
E01001014,109
E01001015,5
E01001016,7
E01001017,0
E01001018,7
E01001019,4
E01001020,7
E01001021,7
E01001022,6
E01001023,7
E01001024,11
E01001025,6
E01001026,5
E01001027,5
E01001028,2
E01001029,18
E01001030,8
E01001031,10
E01001032,5
E01001033,17
E01001034,19
E01001035,19
E01001036,5
E01001037,26
E01001038,19
E01001039,20
E01001040,25
E01001041,20
E01001042,89
E01001043,67
E01001044,23
E01001045,73
E01001046,16
E01001047,44
E01001048,114
E01001049,8
E01001050,26
E01001051,4
E01001052,4
E01001053,20
E01001054,3
E01001055,3
E01001056,12
E01001057,16
E01001058,6
E01001059,7
E01001060,3
E01001061,7
E01001062,8
E01001063,7
E01001064,6
E01001065,5
E01001066,9
E01001067,5
E01001068,1
E01001069,1
E01001070,1
E01001071,5
E01001072,1
E01001073,18
E01001074,7
E01001075,2
E01001076,19
E01001077,18
E01001078,15
E01001079,18
E01001080,18
E01001081,15
E01001082,18
E01001083,26
E01001084,7
E01001085,32
E01001086,44
E01001087,38
E01001088,46
E01001089,42
E01001090,43
E01001091,48
E01001092,14
E01001093,17
E01001094,0
E01001095,19
E01001096,19
E01001097,16
E01001098,15
E01001099,16
E01001100,16
E01001101,6
E01001102,6
E01001103,6
E01001104,3
E01001105,4
E01001106,2
E01001107,8
E01001108,6
E01001109,32
E01001110,87
E01001111,62
E01001112,60
E01001113,55
E01001114,55
E01001115,69
E01001116,31
E01001117,75
E01001118,67
E01001119,6
E01001120,6
E01001121,4
E01001122,1
E01001123,7
E01001124,6
E01001125,7
E01001126,6
E01001127,7
E01001128,15
E01001129,12
E01001130,5
E01001131,7
E01001132,7
E01001133,10
E01001134,9
E01001135,17
E01001136,52
E01001137,32
E01001138,38
E01001139,46
E01001140,9
E01001141,34
E01001142,34
E01001143,46
E01001144,52
E01001145,43
E01001146,56
E01001147,38
E01001148,21
E01001149,39
E01001150,60
E01001151,52
E01001152,58
E01001153,55
E01001154,54
E01001155,55
E01001156,23
E01001157,7
E01001158,9
E01001159,12
E01001160,17
E01001161,36
E01001162,38
E01001163,14
E01001164,39
E01001165,50
E01001166,91
E01001167,19
E01001168,56
E01001169,22
E01001170,42
E01001171,42
E01001172,15
E01001173,17
E01001174,52
E01001175,56
E01001176,54
E01001177,31
E01001178,75
E01001179,62
E01001180,56
E01001181,72
E01001182,48
E01001183,50
E01001184,46
E01001185,35
E01001186,42
E01001187,28
E01001188,45
E01001189,24
E01001190,47
E01001191,45
E01001192,43
E01001193,44
E01001194,32
E01001195,36
E01001196,30
E01001197,73
E01001198,68
E01001199,79
E01001200,87
E01001201,79
E01001202,82
E01001203,88
E01001204,18
E01001205,51
E01001206,16
E01001207,56
E01001208,14
E01001209,13
E01001210,16
E01001211,12
E01001212,13
E01001213,89
E01001214,59
E01001215,89
E01001216,65
E01001217,53
E01001218,17
E01001219,32
E01001220,18
E01001221,49
E01001222,76
E01001223,32
E01001224,34
E01001225,41
E01001226,48
E01001227,57
E01001228,65
E01001229,28
E01001230,52
E01001231,31
E01001232,38
E01001233,39
E01001234,48
E01001235,49
E01001236,50
E01001237,52
E01001238,47
E01001239,56
E01001240,30
E01001241,50
E01001242,91
E01001243,63
E01001244,73
E01001245,62
E01001246,43
E01001247,52
E01001248,43
E01001249,69
E01001250,87
E01001251,52
E01001252,64
E01001253,38
E01001254,39
E01001255,71
E01001257,25
E01001258,53
E01001259,64
E01001260,41
E01001261,57
E01001262,21
E01001263,34
E01001264,46
E01001265,17
